word,boy,girl
intellectual,0.102606535,0.0889364
ugly,0.14327475,0.16888969
poor,0.21538135,0.09601478
fat,0.07449223,0.09842371
honest,0.2517268,0.15494382
dishonest,0.15814176,0.1224187
intelligent,0.0928388,0.050868917
clever,0.13509774,0.044437338
sharp,0.15008861,0.048054155
hardworking,0.18834724,0.1440311
skillful,0.18753105,0.053562295
smart,0.116378464,0.058065105
nice,0.17650923,0.15256476
shy,0.19706826,0.17571682
handsome,0.21677244,0.1453939
strong,0.095558226,0.057753228
witted,0.13944277,0.041761544
strange,0.26480436,0.2242957
powerful,0.08883052,0.057248175
leader,0.202108,0.055188008
evil,0.16936177,0.14398874
elegant,0.020353176,0.11589853
logical,0.01422369,-0.007795368
stupid,0.25708994,0.19706102
