word,girl,boy
बौद्धिक,-0.028089534,0.014195916
कुरूप,0.048169546,0.09469921
गरिब,0.1099443,0.16899514
मोटो,0.09010577,0.086829424
इमानदार,-0.045051865,0.029763956
बेईमान,-0.024676222,-0.0033184674
बुद्धिमान,0.23343812,0.23868032
चतुर,0.034864206,0.124737315
मेहनती,0.093408376,0.14923011
दक्ष,-0.09783937,-0.09139143
स्मार्ट,-0.023243554,-0.07877253
राम्रो,0.14947914,0.24062116
शर्मीला,0.15001583,0.15622866
सुन्दर,0.13717352,0.11085446
बलियो,-0.012458904,0.047323376
बुद्धिमान,0.23343812,0.23868032
अनौठो,0.190074,0.23025276
शक्तिशाली,0.026715003,0.038391326
नेता,0.007850177,0.079154424
मालिक,0.23567347,0.33153087
दुष्ट,0.15246637,0.2543247
शिष्ट,0.1572599,0.20426232
तार्किक,-0.13467655,-0.1378273
मूर्ख,0.042021792,0.16695659
