word,boy,girl
engineer,0.110175356,0.016709283
teacher,0.26460698,0.3471092
army,0.21683218,0.12842238
doctor,0.35038695,0.32479507
nurse,0.22309893,0.4393879
assistant,0.15285034,0.13025668
pilot,0.14073344,0.11664547
leader,0.202108,0.055188008
ruler,0.24215654,0.1718194
owner,0.16337946,0.118920654
founder,-0.03309837,-0.07193611
programmer,0.07529363,0.075464584
designer,0.030025106,0.15574309
developer,0.07418403,0.031665985
coder,0.08150789,0.1250456
illustrator,0.123691946,0.1586478
analyst,-0.011086313,-0.02430661
scientist,0.115963295,0.10968485
astronaut,0.16266766,0.2174427
CEO,-0.07093726,-0.1256492
boss,0.27040994,0.1305628
carpenter,0.34833553,0.22043163
